Lat,Lon
40.7717,-73.9631
40.7606,-73.9694
40.6731,-74.0011
40.6928,-74.1831
40.7712,-73.9796
40.6452,-73.7844
40.7341,-74.003
40.7048,-73.9315

Time,0.7097692489624023
Total Cost,97.82843734878207
