"","passenger_start_datetime","ride_match_datetime","match_runtime_sec","task","driver_to_passenger_min","passenger_to_dest_min","driver_profit_min","is_driver_profit","time_to_match_min","total_wait_time_min","total_process_time_min"
"1",2014-04-25 00:00:00,2014-04-25 00:14:00,0.223113059997559,"1",19.5927976560888,37.8505492542826,18.2577515981938,1,14,33.5927976560887,71.4433469103713
"2",2014-04-25 00:07:00,2014-04-25 00:21:00,0.070267915725708,"1",28.6161729218149,1.61057276715259,-27.0056001546623,0,14,42.6161729218149,44.2267456889675
"3",2014-04-25 00:08:00,2014-04-25 00:31:00,0.036531925201416,"1",11.1003978682522,2.33610710233572,-8.76429076591647,0,23,34.1003978682522,36.4365049705879
"4",2014-04-25 00:10:00,2014-04-25 00:37:00,0.0298550128936768,"1",2.92055460326222,0.681040033181065,-2.23951457008116,0,27,29.9205546032622,30.6015946364433
"5",2014-04-25 00:14:00,2014-04-25 00:40:36,0.0292270183563232,"1",0.902127350688293,1.37388274850626,0.471755397817967,1,26.6015946348508,27.5037219855391,28.8776047340454
"6",2014-04-25 00:20:00,2014-04-25 00:42:52,0.0291099548339844,"1",2.08145349150068,3.97235971726547,1.89090622576479,1,22.8776047348976,24.9590582263983,28.9314179436638
"7",2014-04-25 00:20:00,2014-04-25 00:44:00,0.0288538932800293,"1",2.82460614565714,5.64584835938731,2.82124221373017,1,24,26.8246061456571,32.4704545050445
"8",2014-04-25 00:23:00,2014-04-25 00:44:26,0.0341098308563232,"1",9.85517806524893,9.57526856107211,-0.279909504176823,0,21.4365049680074,31.2916830332563,40.8669515943284
"9",2014-04-25 00:24:00,2014-04-25 00:48:55,0.028235912322998,"1",3.96845123342705,6.90283524047831,2.93438400705125,1,24.9314179499944,28.8998691834215,35.8027044238998
"10",2014-04-25 00:25:00,2014-04-25 00:49:00,0.0251169204711914,"1",1.79118456852012,1.17225465247977,-0.618929916040349,0,24,25.7911845685201,26.9634392209999
"11",2014-04-25 00:29:00,2014-04-25 00:51:13,0.036431074142456,"1",9.09008815569859,6.75592990019835,-2.33415825550024,0,22.2267456849416,31.3168338406402,38.0727637408386
"12",2014-04-25 00:30:00,2014-04-25 00:51:57,0.0275061130523682,"1",8.66234061913504,0,-8.66234061913504,0,21.9634392182032,30.6257798373383,30.6257798373383
"13",2014-04-25 00:30:00,2014-04-25 00:52:28,0.0295219421386719,"1",7.10977945253149,6.91063105314134,-0.199148399390153,0,22.4704544981321,29.5802339506636,36.4908650038049
"14",2014-04-25 00:32:00,2014-04-25 00:59:48,0.0299968719482422,"1",0.647509076232217,5.82323588169379,5.17572680546157,1,27.8027044177055,28.4502134939378,34.2734493756315
"15",2014-04-25 00:33:00,2014-04-25 01:00:37,0.0927319526672363,"1",1.50185689153863,38.7375995446151,37.2357426530764,1,27.6257798314095,29.1276367229481,67.8652362675631
"16",2014-04-25 00:35:00,2014-04-25 01:01:00,0.0353708267211914,"1",8.49686947905645,9.89622074459684,1.39935126554039,1,26,34.4968694790564,44.3930902236533
"17",2014-04-25 00:37:00,2014-04-25 01:03:52,0.0363831520080566,"1",11.2615545581584,6.45592505696334,-4.80562950119509,0,26.8669516007105,38.128506158869,44.5844312158323
"18",2014-04-25 00:45:00,2014-04-25 01:06:16,0.0299210548400879,"1",9.04217639554559,1.5500232921798,-7.49215310336579,0,21.273449365298,30.3156257608435,31.8656490530233
"19",2014-04-25 00:47:00,2014-04-25 01:06:29,0.0254619121551514,"1",3.40741257724313,3.69107166820933,0.283659090966198,1,19.490865000089,22.8982775773321,26.5893492455415
"20",2014-04-25 00:48:00,2014-04-25 01:07:04,0.0318591594696045,"1",5.39067196788923,6.94928493604343,1.5586129681542,1,19.0727637330691,24.4634357009583,31.4127206370018
"21",2014-04-25 00:50:00,2014-04-25 01:10:00,0.0296449661254883,"1",8.90583265484728,7.89771454583311,-1.00811810901417,0,20,28.9058326548473,36.8035472006804
"22",2014-04-25 00:51:00,2014-04-25 01:11:26,0.0353801250457764,"1",7.82935095127906,9.79134915586586,1.9619982045868,1,20.4433469176292,28.2726978689083,38.0640470247742
"23",2014-04-25 00:54:00,2014-04-25 01:13:35,0.0419540405273438,"1",0,18.9738780623557,18.9738780623557,1,19.5893492499987,19.5893492499987,38.5632273123544
"24",2014-04-25 00:55:00,2014-04-25 01:16:51,0.0325679779052734,"1",8.94663388575646,6.15880196247125,-2.78783192328521,0,21.8656490484873,30.8122829342438,36.9710848967151
"25",2014-04-25 00:57:00,2014-04-25 01:19:23,0.116185903549194,"1",15.4769377845254,11.0280631296231,-4.44887465490229,0,22.3930902163188,37.8700280008441,48.8980911304672
"26",2014-04-25 00:57:00,2014-04-25 01:19:24,0.391131162643433,"1",9.48258986874073,10.6783615994252,1.19577173068448,1,22.4127206325531,31.8953105012938,42.573672100719
"27",2014-04-25 00:58:00,2014-04-25 01:21:35,0.10912299156189,"1",2.07847792438577,34.3712754551294,32.2927975307436,1,23.5844312151273,25.6629091395131,60.0341845946425
"28",2014-04-25 00:58:00,2014-04-25 01:26:48,0.0286328792572021,"1",2.43404144964242,0,-2.43404144964242,0,28.8035471995672,31.2375886492096,31.2375886492096
"29",2014-04-25 01:00:00,2014-04-25 01:29:03,0.0319039821624756,"1",9.3835399113543,0.519431565943976,-8.86410834541032,0,29.0640470147133,38.4475869260676,38.9670184920116
"30",2014-04-25 01:00:00,2014-04-25 01:29:14,0.0814459323883057,"1",1.44129861493295,31.2063414648598,29.7650428499268,1,29.237588651975,30.6788872669079,61.8852287317678
